ClientId,Concerts,IntellectScore,ComfortScore,TransTime,WaitTime,Costs
59724,6,61.2,34.1,37.0,225.0,1200
59766,3,57.0,45.7,14.0,145.0,600
60111,3,42.7,24.0,18.0,225.0,600
61287,3,44.4,32.4,14.0,280.0,600
61341,3,35.4,48.9,14.0,105.0,600
61721,4,61.0,36.1,22.0,235.0,800
62112,3,44.7,71.3,8.0,135.0,600
62497,3,33.5,56.0,13.0,115.0,600
62554,3,57.1,83.7,7.0,35.0,600
62645,3,47.2,65.0,8.0,195.0,600
62902,3,48.3,62.2,12.0,110.0,600
63424,4,56.8,43.4,15.0,390.0,800
64150,4,50.1,90.7,2.0,200.0,800
64249,3,43.4,76.1,8.0,60.0,600
64406,3,43.8,82.4,7.0,75.0,600
64492,3,43.4,60.2,10.0,180.0,600
64882,3,48.0,90.1,1.0,145.0,600
65013,4,45.7,73.8,9.0,255.0,800
65620,3,66.9,43.5,14.0,165.0,600
66410,4,47.8,97.0,3.0,75.0,800
67243,3,47.9,54.3,13.0,135.0,600
67511,3,48.7,32.3,13.0,375.0,600
67672,4,50.3,30.3,23.0,255.0,800
67845,3,65.5,41.6,16.0,90.0,600
68082,3,43.7,43.5,14.0,165.0,600
68193,3,55.4,28.2,17.0,210.0,600
68237,3,48.9,48.0,10.0,300.0,600
68365,5,61.6,55.0,24.0,205.0,1000
68503,5,55.0,35.0,27.0,270.0,1000
68757,4,40.5,59.7,16.0,200.0,800
68993,5,42.7,52.5,27.0,110.0,1000
71128,3,44.9,30.2,18.0,165.0,600
71225,3,38.9,88.6,1.0,160.0,600
71631,4,53.1,53.8,20.0,105.0,800
72313,3,53.3,40.0,16.0,115.0,600
72363,4,40.1,67.7,8.0,330.0,800
72756,3,47.5,63.8,2.0,465.0,600
73121,3,42.2,57.6,13.0,90.0,600
73178,3,47.7,58.1,11.0,190.0,600
73205,4,41.3,71.9,10.0,255.0,800
73232,5,40.0,47.4,23.0,270.0,1000
73442,3,48.6,89.2,2.0,120.0,600
73464,4,56.4,43.6,17.0,290.0,800
73549,3,43.4,81.8,0.0,255.0,600
76192,3,37.7,24.4,19.0,195.0,600
76624,4,34.5,37.2,24.0,180.0,800
77370,4,62.3,91.4,4.0,175.0,800
77414,4,33.8,30.6,31.0,120.0,800
77503,3,42.6,45.1,13.0,225.0,600
77540,4,47.0,57.1,17.0,195.0,800
78041,3,31.8,32.0,20.0,105.0,600
78042,4,43.0,52.7,15.0,280.0,800
78245,5,41.9,61.6,21.0,225.0,1000
78330,3,43.4,37.6,18.0,70.0,600
78449,3,33.0,60.2,10.0,180.0,600
78679,5,51.4,79.8,15.0,210.0,1000
78701,4,46.1,73.8,9.0,255.0,800
